Hilo productor 1 introduce el valor 8 en la posici贸n 1, Array = 8, Suma = 0
Hilo productor 1 introduce el valor 0 en la posici贸n 2, Array = 8 - 0, Suma = 0
Hilo productor 1 introduce el valor 7 en la posici贸n 3, Array = 8 - 0 - 7, Suma = 0
Hilo productor 1 introduce el valor 8 en la posici贸n 4, Array = 8 - 0 - 7 - 8, Suma = 0
Hilo productor 1 introduce el valor 2 en la posici贸n 5, Array = 8 - 0 - 7 - 8 - 2, Suma = 0
Hilo productor 1 introduce el valor 5 en la posici贸n 6, Array = 8 - 0 - 7 - 8 - 2 - 5, Suma = 0
Hilo productor 1 introduce el valor 2 en la posici贸n 7, Array = 8 - 0 - 7 - 8 - 2 - 5 - 2, Suma = 0
Hilo productor 1 introduce el valor 6 en la posici贸n 8, Array = 8 - 0 - 7 - 8 - 2 - 5 - 2 - 6, Suma = 0
Hilo productor 1 introduce el valor 4 en la posici贸n 9, Array = 8 - 0 - 7 - 8 - 2 - 5 - 2 - 6 - 4, Suma = 0
Hilo productor 1 introduce el valor 3 en la posici贸n 10, Array = 8 - 0 - 7 - 8 - 2 - 5 - 2 - 6 - 4 - 3, Suma = 0
Hilo consumidor saca el valor 3 de la posici贸n 10, Array = 8 - 0 - 7 - 8 - 2 - 5 - 2 - 6 - 4, Suma = 3
Hilo consumidor saca el valor 4 de la posici贸n 9, Array = 8 - 0 - 7 - 8 - 2 - 5 - 2 - 6, Suma = 7
Hilo consumidor saca el valor 6 de la posici贸n 8, Array = 8 - 0 - 7 - 8 - 2 - 5 - 2, Suma = 13
Hilo consumidor saca el valor 2 de la posici贸n 7, Array = 8 - 0 - 7 - 8 - 2 - 5, Suma = 15
Hilo consumidor saca el valor 5 de la posici贸n 6, Array = 8 - 0 - 7 - 8 - 2, Suma = 20
Hilo consumidor saca el valor 2 de la posici贸n 5, Array = 8 - 0 - 7 - 8, Suma = 22
Hilo consumidor saca el valor 8 de la posici贸n 4, Array = 8 - 0 - 7, Suma = 30
Hilo consumidor saca el valor 7 de la posici贸n 3, Array = 8 - 0, Suma = 37
Hilo consumidor saca el valor 0 de la posici贸n 2, Array = 8, Suma = 37
Hilo consumidor saca el valor 8 de la posici贸n 1, Array = , Suma = 45
Hilo productor 2 introduce el valor 0 en la posici贸n 1, Array = 0, Suma = 45
Hilo productor 2 introduce el valor 4 en la posici贸n 2, Array = 0 - 4, Suma = 45
Hilo productor 2 introduce el valor 6 en la posici贸n 3, Array = 0 - 4 - 6, Suma = 45
Hilo productor 2 introduce el valor 2 en la posici贸n 4, Array = 0 - 4 - 6 - 2, Suma = 45
Hilo productor 2 introduce el valor 3 en la posici贸n 5, Array = 0 - 4 - 6 - 2 - 3, Suma = 45
Hilo productor 2 introduce el valor 5 en la posici贸n 6, Array = 0 - 4 - 6 - 2 - 3 - 5, Suma = 45
Hilo productor 2 introduce el valor 9 en la posici贸n 7, Array = 0 - 4 - 6 - 2 - 3 - 5 - 9, Suma = 45
Hilo productor 2 introduce el valor 7 en la posici贸n 8, Array = 0 - 4 - 6 - 2 - 3 - 5 - 9 - 7, Suma = 45
Hilo productor 2 introduce el valor 2 en la posici贸n 9, Array = 0 - 4 - 6 - 2 - 3 - 5 - 9 - 7 - 2, Suma = 45
Hilo productor 2 introduce el valor 6 en la posici贸n 10, Array = 0 - 4 - 6 - 2 - 3 - 5 - 9 - 7 - 2 - 6, Suma = 45
Hilo consumidor saca el valor 6 de la posici贸n 10, Array = 0 - 4 - 6 - 2 - 3 - 5 - 9 - 7 - 2, Suma = 51
Hilo consumidor saca el valor 2 de la posici贸n 9, Array = 0 - 4 - 6 - 2 - 3 - 5 - 9 - 7, Suma = 53
Hilo consumidor saca el valor 7 de la posici贸n 8, Array = 0 - 4 - 6 - 2 - 3 - 5 - 9, Suma = 60
Hilo consumidor saca el valor 9 de la posici贸n 7, Array = 0 - 4 - 6 - 2 - 3 - 5, Suma = 69
